labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,wdc_headphones,Random Sample 500,,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.915,0.878,0.956,0,0.889,0.815,0.978,0,0.871,0.786,0.978,0,0.892,0.018,0.826,0.038,0.971,0.01
20,wdc_headphones,Random Sample 500,,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.338,0.259,0.489,2,0.262,0.19,0.422,3,0.269,0.155,1.0,9,0.29,0.034,0.201,0.043,0.637,0.258
40,wdc_headphones,Random Sample 500,,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.436,0.33,0.644,4,0.27,0.194,0.444,7,0.357,0.909,0.222,2,0.354,0.068,0.478,0.31,0.437,0.172
60,wdc_headphones,Random Sample 500,,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.583,0.467,0.778,5,0.289,0.206,0.489,11,0.595,0.759,0.489,2,0.489,0.142,0.477,0.226,0.585,0.136
80,wdc_headphones,Random Sample 500,,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.673,0.569,0.822,3,0.331,0.236,0.556,12,0.648,0.885,0.511,2,0.551,0.156,0.563,0.265,0.63,0.137
100,wdc_headphones,Random Sample 500,,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.763,0.712,0.822,4,0.517,0.373,0.844,7,0.658,0.857,0.533,2,0.646,0.101,0.647,0.203,0.733,0.142
120,wdc_headphones,Random Sample 500,,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.814,0.854,0.778,4,0.621,0.471,0.911,7,0.75,0.857,0.667,2,0.728,0.08,0.727,0.181,0.785,0.1
140,wdc_headphones,Random Sample 500,,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.886,0.907,0.867,4,0.652,0.489,0.978,8,0.809,0.776,0.844,2,0.782,0.097,0.724,0.175,0.896,0.059
160,wdc_headphones,Random Sample 500,,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.845,0.788,0.911,3,0.688,0.53,0.978,9,0.879,0.87,0.889,1,0.804,0.083,0.729,0.145,0.926,0.038
180,wdc_headphones,Random Sample 500,,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.889,0.815,0.978,3,0.698,0.543,0.978,10,0.905,0.86,0.956,2,0.831,0.094,0.739,0.14,0.971,0.01
200,wdc_headphones,Random Sample 500,,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.945,0.935,0.956,3,0.746,0.603,0.978,11,0.925,0.896,0.956,2,0.872,0.089,0.811,0.148,0.963,0.01
