labeled set size,Task,Initialization Method,Transfer Learning Dataset,Keep Model,AL Runs,Sampling Size,Learning Model,Learning Rate,Max Length,Epochs,Batch Size,Data Augmentation,High.Conf.LS,DA Threshold,DA,DK,SU,sample weights,Run 1: f1,Run 1: precision,Run 1: recall,Run 2: f1,Run 2: precision,Run 2: recall,Run 3: f1,Run 3: precision,Run 3: recall,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,cameras,Transfer Learning,watches,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0, 0]",0.913,0.956,0.873,0.927,0.921,0.933,0.915,0.9,0.93,0.918,0.008,0.926,0.028,0.912,0.034
100,cameras,Transfer Learning,watches,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.003456858407079646, 0.9965431415929203]",0.501,0.352,0.87,0.674,0.547,0.88,0.655,0.505,0.933,0.61,0.095,0.468,0.103,0.894,0.034
200,cameras,Transfer Learning,watches,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.006889899407468651, 0.9931101005925314]",0.699,0.605,0.827,0.765,0.754,0.777,0.705,0.635,0.793,0.723,0.036,0.665,0.079,0.799,0.026
300,cameras,Transfer Learning,watches,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.010299368305410601, 0.9897006316945894]",0.782,0.744,0.823,0.795,0.731,0.87,0.822,0.812,0.833,0.8,0.02,0.762,0.044,0.842,0.025
400,cameras,Transfer Learning,watches,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.01368550704803613, 0.9863144929519638]",0.783,0.84,0.733,0.828,0.762,0.907,0.864,0.871,0.857,0.825,0.041,0.824,0.056,0.832,0.09
500,cameras,Transfer Learning,watches,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.017048554282596835, 0.9829514457174031]",0.79,0.811,0.77,0.785,0.723,0.86,0.848,0.817,0.88,0.808,0.035,0.784,0.053,0.837,0.059
600,cameras,Transfer Learning,watches,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.020388745412532282, 0.9796112545874677]",0.824,0.846,0.803,0.866,0.861,0.87,0.84,0.868,0.813,0.843,0.021,0.858,0.011,0.829,0.036
700,cameras,Transfer Learning,watches,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.023706312652397723, 0.9762936873476022]",0.846,0.83,0.863,0.873,0.898,0.85,0.882,0.856,0.91,0.867,0.019,0.861,0.034,0.874,0.032
800,cameras,Transfer Learning,watches,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.02700148508167949, 0.9729985149183205]",0.865,0.874,0.857,0.859,0.836,0.883,0.855,0.844,0.867,0.86,0.005,0.851,0.02,0.869,0.013
900,cameras,Transfer Learning,watches,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.03027448869752422, 0.9697255113024758]",0.89,0.907,0.873,0.856,0.849,0.863,0.859,0.801,0.927,0.868,0.019,0.852,0.053,0.888,0.034
1000,cameras,Transfer Learning,watches,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.0335255464664074, 0.9664744535335926]",0.871,0.833,0.913,0.844,0.867,0.823,0.863,0.846,0.88,0.859,0.014,0.849,0.017,0.872,0.046
1100,cameras,Transfer Learning,watches,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.036754878374766105, 0.9632451216252339]",0.885,0.85,0.923,0.874,0.879,0.87,0.87,0.881,0.86,0.876,0.008,0.87,0.017,0.884,0.034
1200,cameras,Transfer Learning,watches,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.03996270147861995, 0.9600372985213801]",0.874,0.879,0.87,0.901,0.911,0.89,0.872,0.86,0.883,0.882,0.016,0.883,0.026,0.881,0.01
1300,cameras,Transfer Learning,watches,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.04314922995220393, 0.9568507700477961]",0.888,0.89,0.887,0.888,0.879,0.897,0.879,0.86,0.9,0.885,0.005,0.876,0.015,0.895,0.007
1400,cameras,Transfer Learning,watches,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.046314675135635835, 0.9536853248643642]",0.87,0.837,0.907,0.867,0.825,0.913,0.897,0.855,0.943,0.878,0.017,0.839,0.015,0.921,0.019
1500,cameras,Transfer Learning,watches,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.04945924558164073, 0.9505407544183593]",0.892,0.89,0.893,0.897,0.894,0.9,0.901,0.852,0.957,0.897,0.005,0.879,0.023,0.917,0.035
1600,cameras,Transfer Learning,watches,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.05258314710135402, 0.947416852898646]",0.9,0.858,0.947,0.904,0.857,0.957,0.885,0.839,0.937,0.896,0.01,0.851,0.011,0.947,0.01
1700,cameras,Transfer Learning,watches,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.05568658280922432, 0.9443134171907757]",0.911,0.919,0.903,0.883,0.873,0.893,0.877,0.814,0.95,0.89,0.018,0.869,0.053,0.915,0.03
1800,cameras,Transfer Learning,watches,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.0587697531670367, 0.9412302468329633]",0.889,0.884,0.893,0.885,0.884,0.887,0.888,0.892,0.883,0.887,0.002,0.887,0.005,0.888,0.005
1900,cameras,Transfer Learning,watches,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.061832856027076284, 0.9381671439729237]",0.891,0.849,0.937,0.899,0.867,0.933,0.89,0.842,0.943,0.893,0.005,0.853,0.013,0.938,0.005
2000,cameras,Transfer Learning,watches,False,20,100,roberta,"3,00E-05",256,20,20,False,False,0,False,product,False,"[0.0648760866744518, 0.9351239133255482]",0.891,0.88,0.903,0.873,0.898,0.85,0.901,0.895,0.907,0.888,0.014,0.891,0.01,0.887,0.032
