# Labeled Examples,al_random_init,al_tl,al_tl_da,al_tl_da_to_ls,al_tl_da_thresh
20,0.393 (0.025),0.221 (0.024),0.227 (0.012),0.220 (0.012),0.251 (0.010)
40,0.359 (0.040),0.233 (0.084),0.262 (0.023),0.273 (0.031),0.126 (0.106)
60,0.392 (0.045),0.304 (0.100),0.285 (0.053),0.304 (0.067),0.364 (0.034)
80,0.484 (0.033),0.396 (0.095),0.358 (0.096),0.327 (0.017),0.521 (0.014)
100,0.557 (0.023),0.409 (0.126),0.383 (0.172),0.378 (0.042),0.510 (0.108)
120,0.641 (0.063),0.489 (0.139),0.463 (0.100),0.416 (0.054),0.625 (0.094)
140,0.622 (0.013),0.580 (0.091),0.569 (0.068),0.454 (0.130),0.660 (0.079)
160,0.643 (0.094),0.677 (0.076),0.700 (0.111),0.534 (0.018),0.697 (0.060)
180,0.649 (0.101),0.757 (0.012),0.726 (0.102),0.593 (0.062),0.714 (0.081)
200,0.693 (0.090),0.829 (0.009),0.783 (0.050),0.707 (0.041),0.732 (0.109)
220,0.712 (0.085),0.827 (0.057),0.824 (0.048),0.724 (0.026),0.788 (0.045)
