labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,Split Validation,Keep Model,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Include Source Data,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
20,abt_buy,Random Sample 20,,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.0,0.0,0.0,0,0.266,0.154,1.0,0,0.266,0.154,1.0,0,0.177,0.125,0.103,0.073,0.667,0.471
120,abt_buy,Random Sample 20,,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.294,0.181,0.777,4,0.268,0.155,0.982,8,0.162,0.117,0.264,7,0.241,0.057,0.151,0.026,0.674,0.302
220,abt_buy,Random Sample 20,,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.266,0.164,0.705,4,0.257,0.149,0.923,9,0.277,0.169,0.755,11,0.267,0.008,0.161,0.008,0.794,0.093
320,abt_buy,Random Sample 20,,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.319,0.218,0.591,5,0.268,0.171,0.614,6,0.287,0.184,0.65,7,0.291,0.021,0.191,0.02,0.618,0.024
420,abt_buy,Random Sample 20,,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.277,0.22,0.373,6,0.308,0.281,0.341,6,0.367,0.268,0.582,7,0.317,0.037,0.256,0.026,0.432,0.107
520,abt_buy,Random Sample 20,,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.295,0.272,0.323,6,0.372,0.322,0.441,5,0.36,0.272,0.532,5,0.342,0.034,0.289,0.024,0.432,0.086
620,abt_buy,Random Sample 20,,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.322,0.353,0.295,5,0.396,0.362,0.436,5,0.337,0.304,0.377,5,0.352,0.032,0.34,0.025,0.369,0.058
720,abt_buy,Random Sample 20,,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.352,0.444,0.291,5,0.41,0.463,0.368,5,0.325,0.394,0.277,5,0.362,0.035,0.434,0.029,0.312,0.04
820,abt_buy,Random Sample 20,,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.351,0.441,0.291,4,0.411,0.434,0.391,4,0.359,0.403,0.323,4,0.374,0.027,0.426,0.017,0.335,0.042
920,abt_buy,Random Sample 20,,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.359,0.458,0.295,4,0.442,0.5,0.395,4,0.389,0.452,0.341,4,0.397,0.034,0.47,0.021,0.344,0.041
1020,abt_buy,Random Sample 20,,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.4,0.475,0.345,4,0.501,0.552,0.459,4,0.472,0.439,0.509,3,0.458,0.042,0.489,0.047,0.438,0.069
1120,abt_buy,Random Sample 20,,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.479,0.577,0.409,3,0.518,0.602,0.455,3,0.49,0.476,0.505,3,0.496,0.016,0.552,0.054,0.456,0.039
1220,abt_buy,Random Sample 20,,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.427,0.516,0.364,3,0.518,0.657,0.427,3,0.47,0.528,0.423,3,0.472,0.037,0.567,0.064,0.405,0.029
1320,abt_buy,Random Sample 20,,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.481,0.584,0.409,3,0.545,0.606,0.495,3,0.498,0.52,0.477,3,0.508,0.027,0.57,0.036,0.46,0.037
1420,abt_buy,Random Sample 20,,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.478,0.604,0.395,3,0.542,0.644,0.468,3,0.522,0.52,0.523,3,0.514,0.027,0.589,0.052,0.462,0.052
1520,abt_buy,Random Sample 20,,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.489,0.59,0.418,3,0.578,0.62,0.541,3,0.555,0.555,0.555,3,0.541,0.038,0.588,0.027,0.505,0.062
1620,abt_buy,Random Sample 20,,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.487,0.672,0.382,3,0.569,0.638,0.514,3,0.546,0.566,0.527,3,0.534,0.035,0.625,0.044,0.474,0.066
1720,abt_buy,Random Sample 20,,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.548,0.635,0.482,3,0.605,0.719,0.523,3,0.547,0.585,0.514,3,0.567,0.027,0.646,0.055,0.506,0.018
1820,abt_buy,Random Sample 20,,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.577,0.657,0.514,2,0.635,0.633,0.636,2,0.579,0.58,0.577,3,0.597,0.027,0.623,0.032,0.576,0.05
1920,abt_buy,Random Sample 20,,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.601,0.651,0.559,2,0.654,0.694,0.618,2,0.609,0.624,0.595,3,0.621,0.023,0.656,0.029,0.591,0.024
2020,abt_buy,Random Sample 20,,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.645,0.704,0.595,2,0.644,0.678,0.614,2,0.637,0.697,0.586,2,0.642,0.004,0.693,0.011,0.598,0.012
